new_clean_name,old_sf_name,old_lg_name,osa_govt_lvl,lg_govt_lvl,new_entity_for_osa,new_entity_for_lg,name_changed_in_salesforce,name_cnt,sf_id,lg_id,primary_email,primary_first_name,primary_last_name,primary_title,primary_phone
Family Practice at Snow Creek,FAMILY PRACTICE @ SNOW CREEK,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWr5QAF,,,,,,
Family Promise - Salt Lake,Family Promise - Salt Lake,Family Promise Salt Lake,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100000rD1YRAA0,389,wendy@familypromisesaltlake.org,Wendy,Kelly,,8019618622
Family Support Center,Family Support Center,Family Support Center,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100000rD1OxAAK,390,laura.watts@familysupportcenter.org,Laura,Watts,,801-955-9110 x 103
Family Support Center of Central Utah,Family Support Center of Central Utah,,Non Profits,,FALSE,TRUE,FALSE,1,0014100000rD1XmAAK,,,,,,
Family Support Center of Ogden,"Family Support Center of Ogden, Inc.",,Non Profits,,FALSE,TRUE,TRUE,1,0014100000rD1OyAAK,,,,,,
Family Support Center of Southwestern Utah,Family Support Center of Southwestern Utah,Family Support Center of Southwestern Utah,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100000rD1OzAAK,391,director@familysupportutah.org,Connie,Furnival,Executive Director,4355860791
Family Support Center of Uintah Basin,"Family Support Center of Uintah Basin, Inc","Family Support Center of the Uintah Basin, Inc.",Non Profits,Nonprofit Corporation,FALSE,FALSE,TRUE,1,0014100000rD1P0AAK,392,,,,,
Family Support Center of Washington County,Family Support Center of Washington County,"Family Support Center of Washington County Utah, Inc.",Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100000rD1P1AAK,393,famsupportofwc@gmail.com,LaVelle,Prince,Executive Director,4358170480
Family Support and Advocacy Center of Southeast Utah,Family Support & Advocacy Ctr of SE UT,,Non Profits,,FALSE,TRUE,TRUE,1,0014100000rD1X7AAK,,,,,,
Family Support and Children Justice Center Carbon County,Family Support & Children Justice Center Carbon County,,Non Profits,,FALSE,TRUE,TRUE,1,001Do00000NWGTnIAP,,,,,,
Family Vision Care of Bountiful,FAMILY VISION CARE OF BOUNTIFUL,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWr6QAF,,,,,,
Farmington City,Farmington City,Farmington City Corp,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD0zoAAC,394,bmellor@farmington.utah.gov,Brigham,Mellor,,8019399224
Farmington City Redevelopment Agency,Farmington City Redevelopment Agency,Farmington City Redevelopment Agency,Redevelopment Agency/Project Area,,FALSE,FALSE,FALSE,1,0014100000rD1ZrAAK,395,,,,,
Farr West City,Farr West City,Farr West City,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD0zpAAC,396,lindsay@farrwestcity.com,Lindsay,Afuvai,,801-731-4187
Farr West City Redevelopment Agency,Farr West City Redevelopment Agency,,Redevelopment Agency/Project Area,,FALSE,TRUE,FALSE,1,0014100000rD1hgAAC,,,,,,
Farr West Eye Specialists,FARR WEST EYE SPECIALISTS,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWr7QAF,,,,,,
Farr West Urgent Care and Family Medicine,FARR WEST URGENT CARE AND FAMILY MEDICINE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWr8QAF,,,,,,
Fast Forward Charter High School,Fast Forward Charter High School,Fast Forward Charter High School,School District or Charter School,Charter School,FALSE,FALSE,FALSE,1,0014100000rD1iFAAS,397,rmarchant@ehhs.us,Ryan,Marchant,,4357134255
Fathers and Families Coalition of Utah,Fathers and Families Coalition of Utah,,Non Profits,,FALSE,TRUE,FALSE,1,001Do00000NW6CRIA1,,,,,,
Faux Real Theatre Company,,Faux Real Theatre Company,,,TRUE,FALSE,,1,,398,,,,,
Fayette Town,Fayette Town,,Town,,FALSE,TRUE,FALSE,1,0014100000rD1pnAAC,,,,,,
Federal Funds Process in Utah State Government,Federal Funds Process in Utah State Government,,State of Utah (agencies/depts/comp units/ etc.),,FALSE,TRUE,FALSE,1,0014100000rD4htAAC,,,,,,
Federal Hiputah,Federal HIPUtah,,State of Utah (agencies/depts/comp units/ etc.),,FALSE,TRUE,TRUE,1,0014100000rD4huAAC,,,,,,
Federal Mineral Lease Special Service District 3,,Federal Mineral Lease Special Service District 3,,Special Service District,TRUE,FALSE,,1,,399,troy@cut.net,Troy,Shelley,Chair,4356916000
Fellows and Mortensen,FELLOWS & MORTENSEN,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWr9QAF,,,,,,
Ferrin and Company,Ferrin & Company,,CPA Firm,,FALSE,FALSE,TRUE,1,0014100000rD0xsAAC,,,,,,
Ferron Canal and Reservoir Company,Ferron Canal and Reservoir Company,,Non Profits,,FALSE,TRUE,FALSE,1,0014100000rD1vXAAS,,,,,,
Ferron City,Ferron City,Ferron City,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD0zqAAC,400,recorder@ferroncity.org,Brittany,Yeates,,4353842350
Feyette Town,,Town of Fayette,,Municipality,TRUE,FALSE,,1,,1420,fayette5882@gmail.com,Kathi,Williams,,4355285882
Fielding Cemetery Maintenance District,Fielding Cemetery Maintenance District,Fielding Cemetery maintenance district,Local and Special Service District,Local District,FALSE,FALSE,FALSE,1,0014100000rD1CbAAK,401,mhess61@gmail.com,Matthew,Hess,Director,4354522075
Fielding Town,Fielding Town,Fielding Town Corp,Town,Municipality,FALSE,FALSE,FALSE,1,0014100000rD1poAAC,402,info@fieldingtown.org,Dottie,Garn,,4354583682
Fillmore City,Fillmore City,Fillmore City Corporation,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD0zrAAC,403,recorder@fillmorecity.org,Kevin,Orton,,435-743-5233
Fillmore City Redevelopment Agency,Fillmore City Redevelopment Agency,Fillmore City Redevelopment Agency,Redevelopment Agency/Project Area,Community Reinvestment Agency,FALSE,FALSE,FALSE,1,0014100000rD1ZsAAK,404,recorder@fillmorecity.org,Kevin,Orton,City Recorder,4357435233
Fillmore Community Hospital,FILLMORE COMMUNITY HOSPITAL,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrAQAV,,,,,,
Fillmore Community Hospital Physician Group,FILLMORE COMMUNITY HOSPITAL PHYSICIAN GROUP,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrBQAV,,,,,,
Final Kick Ankle and Foot Clinic,FINAL KICK ANKLE AND FOOT CLINIC LLC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrCQAV,,,,,,
Finet,FINET,,Community User,,FALSE,TRUE,TRUE,1,0011K00002f0bT1QAI,,,,,,
Fire Department,,Fire Department,,Local District,TRUE,FALSE,,1,,405,ssfd@allwest.net,Kent,Leavitt,,435-640-4737
Firefly Public Infrastructure District 1,Firefly Public Infrastructure District 1,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002f0udEQAQ,,,,,,
Firefly Public Infrastructure District 10,Firefly Public Infrastructure District 10,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002f0vBqQAI,,,,,,
Firefly Public Infrastructure District 2,Firefly Public Infrastructure District 2,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002f0uelQAA,,,,,,
Firefly Public Infrastructure District 3,Firefly Public Infrastructure District 3,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002f0uWkQAI,,,,,,
Firefly Public Infrastructure District 4,Firefly Public Infrastructure District 4,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002f0ugDQAQ,,,,,,
Firefly Public Infrastructure District 5,Firefly Public Infrastructure District 5,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002f0uTKQAY,,,,,,
Firefly Public Infrastructure District 6,Firefly Public Infrastructure District 6,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002f0ulOQAQ,,,,,,
Firefly Public Infrastructure District 7,Firefly Public Infrastructure District 7,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002f0uh2QAA,,,,,,
Firefly Public Infrastructure District 8,Firefly Public Infrastructure District 8,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002f0v3wQAA,,,,,,
Firefly Public Infrastructure District 9,Firefly Public Infrastructure District 9,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0011K00002f0vAnQAI,,,,,,
First Light Charities,,First Light Charities,,Nonprofit Corporation,TRUE,FALSE,,1,,406,firstlightcharities@gmail.com,Brooke,Reynolds,President,8012315702
First Night Salt Lake City,"First Night, Salt Lake City, Inc.",,Non Profits,,FALSE,TRUE,TRUE,1,0014100000rD1X8AAK,,,,,,
First Step House,"First Step House, Inc.",First Step House,Non Profits,Nonprofit Corporation,FALSE,FALSE,TRUE,1,0014100000rD1P2AAK,407,hspence@firststephouse.org,Heidi,Spence,,801-359-8862
Firstmed Central Urgent Care,FIRSTMED CENTRAL URGENT CARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrDQAV,,,,,,
Firstmed East Urgent Care,FIRSTMED EAST URGENT CARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrEQAV,,,,,,
Firstmed Murray Urgent Care,FIRSTMED MURRAY URGENT CARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrFQAV,,,,,,
Firstmed North Urgent Care,FIRSTMED NORTH URGENT CARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrGQAV,,,,,,
Firstmed West Urgent Care,FIRSTMED WEST URGENT CARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrHQAV,,,,,,
Five County Area Agency on Aging,,Five County Area Agency on Aging,,Area Agency (including Aging and High-Risk Adult),TRUE,FALSE,,1,,408,cschonlaw@fivecounty.utah.gov,Carrie,"Schonlaw, SSW",,4356733548x118
Five County Association of Governments,Five County Association of Governments,Five County Association of Governments,AOG,Interlocal Entity,FALSE,FALSE,FALSE,1,0014100000rD0xJAAS,409,bthiriot@fivecounty.utah.gov,Bryan,D. Thiriot,,435.673.3548
Fj and Associates PLCC,"FJ & Associates, PLCC",,CPA Firm,,FALSE,FALSE,TRUE,1,0014100000rD0zIAAS,,,,,,
Flaming Gorge Fire and Emergency Medical Services District,Flaming Gorge Fire & EMS District,Flaming Gorge Fire and EMS District,Local and Special Service District,Local District,FALSE,FALSE,TRUE,1,0011K00002PrPA7QAN,410,srose@flaminggorgefireandems.gov,Stephanie,Rose,Board Chair,4357605928
Flaming Gorge Roads and Transportation Special Service District,Flaming Gorge Roads and Transportation SSD,,Local and Special Service District,,FALSE,TRUE,TRUE,1,0014100000rD1CcAAK,,,,,,
Foot and Ankle Center of Providence,FOOT AND ANKLE CENTER OF PROVIDENCE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrNQAV,,,,,,
Foot and Ankle Clinic,FOOT AND ANKLE CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrOQAV,,,,,,
Foot and Ankle Clinics of Utah,FOOT & ANKLE CLINICS OF UTAH,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrIQAV,,,,,,
Foot and Ankle Institute,FOOT & ANKLE INSTITUTE,,Health Provider,,FALSE,FALSE,TRUE,2,0011K00002EhWrJQAV,,,,,,
Foot and Ankle Institute,FOOT & ANKLE INSTITUTE,,Health Provider,,FALSE,FALSE,TRUE,2,0011K00002EhWrKQAV,,,,,,
Foot and Ankle Specialists,FOOT AND ANKLE SPECIALISTS,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrPQAV,,,,,,
Foot and Ankle Specialists of Utah,FOOT & ANKLE SPECIALISTS OF UTAH,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrLQAV,,,,,,
Foot and Ankle Specialty Clinic,FOOT & ANKLE SPECIALTY CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrMQAV,,,,,,
Foothill Family Clinic,FOOTHILL FAMILY CLINIC,,Health Provider,,FALSE,FALSE,TRUE,2,0011K00002EhWrQQAV,,,,,,
Foothill Family Clinic,FOOTHILL FAMILY CLINIC,,Health Provider,,FALSE,FALSE,TRUE,2,0011K00002EhWrRQAV,,,,,,
Fort Douglas Military Museum,Fort Douglas Military Museum,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002YhuoFQAR,,,,,,
Fort Duchesne Phs Indian Health Center,FORT DUCHESNE PHS INDIAN HEALTH CENTER,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrSQAV,,,,,,
Foundation for Family Life of Utah,Foundation for Family Life of Utah,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002J1IJJQA3,,,,,,
Foundation for Integrated Resource Management,Foundation for Integrated Resource Management,,Non Profits,,FALSE,TRUE,FALSE,1,0014100000rD1ZOAA0,,,,,,
Foundation for the Provo-Jordan River Parkway,,Foundation for the Provo/Jordan River Parkway,,Nonprofit Corporation,TRUE,FALSE,,1,,411,lonrr@msn.com,Lon,R. Richardsin Jr.,,801-582-3855
Fountain Green City,Fountain Green City,Fountain Green City,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD0zsAAC,412,frontdesk@fountaingreen.org,Michelle,Walker,,435-445-3453
Four Corners Community Behavioral Health,FOUR CORNERS COMMUNITY BEHAVIORAL HEALTH,"Four Corners Community Behavioral Health, Inc.",Health Provider,Nonprofit Corporation,FALSE,FALSE,TRUE,2,0011K00002EhWrTQAV,413,cjaramillo@fourcorners.ws,Cassady,Jaramillo,Executive Assistant,4356377200
Four Corners Community Behavioral Health,"Four Corners Community Behavioral Health, Inc.","Four Corners Community Behavioral Health, Inc.",Non Profit - URS Contributing,Nonprofit Corporation,FALSE,FALSE,TRUE,2,0014100000rD1OKAA0,413,cjaramillo@fourcorners.ws,Cassady,Jaramillo,Executive Assistant,4356377200
Four Corners School of Outdoor Education,,Four Corners School of Outdoor Education,,Nonprofit Corporation,TRUE,FALSE,,1,,414,stormyw@ccdiscovery.org,Stormy,Whipple,Finance and HR Director,4355872156
Four Mile Special Service District,Four Mile Special Service District,Four Mile Special Service District,Local and Special Service District,Special Service District,FALSE,FALSE,FALSE,1,0011K00002Pu2J5QAJ,415,jknight@cityofharrisville.com,Jennie,Knight,City Administrator,8017824100
Four Season Theatre Company,Four Season Theatre Company,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002YfOoRQAV,,,,,,
Fourth Street Clinic,FOURTH STREET CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrUQAV,,,,,,
Fox Hollow Golf Course,Fox Hollow Golf Course,,Interlocal,,FALSE,TRUE,FALSE,1,0014100000rD1ANAA0,,,,,,
Francis City,Francis City,Francis City,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD11lAAC,416,sgillett@francisutah.org,Suzanne,Gillett,,435-783-6236
Francis X Yubero MD,"FRANCIS X. YUBERO, M.D.",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrVQAV,,,,,,
Frank Archer MD,"FRANK ARCHER, MD, LLC",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrWQAV,,,,,,
Franklin Discovery Academy,Franklin Discovery Academy,Franklin Discovery Academy - Vineyard,School District or Charter School,Charter School,FALSE,FALSE,FALSE,1,0014100000rD1p4AAC,417,jenn.price@franklindiscovery.org,Jennifer,Price,,801-477-0144
Freedom Academy,Freedom Academy,,School District or Charter School,,FALSE,TRUE,FALSE,1,0014100000rD1iGAAS,,,,,,
Freedom Healthcare,FREEDOM HEALTHCARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrXQAV,,,,,,
Freedom Medical Center,FREEDOM MEDICAL CENTER,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrYQAV,,,,,,
Freedom Preparatory Academy,,Freedom Preparatory Academy,,Charter School,TRUE,FALSE,,1,,418,lherring@freedomprep.net,Lynne,Herring,Executive Director,8014373100
Fremont River Conservation District,Fremont River Conservation District,Fremont River Conservation District,Conservation District,Conservation District,FALSE,FALSE,FALSE,1,0014100000rD126AAC,419,fremontrivercd@gmail.com,Tacey,Wood,County Clerk,4352314764
Fresh Start Behavioral Services,FRESH START BEHAVIORAL SERVICES,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrZQAV,,,,,,
Friends for Animal Care and Effective Solutions,Friends for Animal Care and Effective Solutions,,Non Profits,,FALSE,TRUE,FALSE,1,0014100000rD1YZAA0,,,,,,
Friends for Sight,Friends for Sight,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002YhupDQAR,,,,,,
Friends of Great Salt Lake,,FRIENDS Of Great Salt Lake,,Nonprofit Corporation,TRUE,FALSE,,1,,420,snowyegret@fogsl.org,Holly,Simonsen,,801-244-5633
Friends of Santaquin,,Friends of Santaquin,,Nonprofit Corporation,TRUE,FALSE,,1,,421,shoffman@santaquin.org,Shannon,Hoffman,Treasurer,8017541903
Friends of Switchpoint,Friends of Switchpoint Inc,Friends of Switchpoint Inc.,Non Profits,Nonprofit Corporation,FALSE,FALSE,TRUE,1,0014100000rD1YSAA0,422,sonjia.naron@switchpointcrc.org,Sonjia,Naron,,435-628-9310 ext 201
Friends of Territorial Statehouse Museum,Friends of Territorial Statehouse Museum,Friends of Territorial Statehouse State Park & Museum,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100001t4WpqAAE,423,abejohnson1936@gmail.com,Abe,Johnson,,435-743-5306
Friends of Tracy Aviary,,Friends of Tracy Aviary,,Nonprofit Corporation,TRUE,FALSE,,1,,426,accounting@tracyaviary.org,Brianna,Burton,,801-596-8500 ext 104
Friends of the Carbon and Emery Counties Childrens Justice Centers and Family Support Center,Friends of the Carbon and Emery Counties' Children's Justice Centers and Family Support Center,,Non Profits,,FALSE,TRUE,TRUE,1,0014100000rD1XkAAK,,,,,,
Friends of the Coalition,,Friends of the Coalition,,Nonprofit Corporation,TRUE,FALSE,,1,,424,brentc@foodandcare.org,Brent,Crane,Executive Director,8013731825
Friends of the Moab Folk Festival,Friends of the Moab Folk Festival,Friends of the Moab Folk Festival,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0011K00002J1R8bQAF,425,cassie@moabfolkfestival.com,Cassie,Paup,Director,4352601756
Front Line Services,"FRONT LINE SERVICES, INC.",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWraQAF,,,,,,
Fruit Heights City,Fruit Heights City,Fruit Heights City,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD0ztAAC,427,jsmith@fruitheightscity.com,Jacob,Smith,,801-546-0861
Fruitland Special Service District,Fruitland Special Service District,Fruitland Special Service District,Local and Special Service District,Special Service District,FALSE,FALSE,FALSE,1,0014100000rD1CdAAK,428,fssd@ubtanet.com,Shilo,Hatch,,4355482399
Full Circle Intertribal Center,Full Circle Intertribal Center,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002YhursQAB,,,,,,
Futura Medical Clinic,FUTURA MEDICAL CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrbQAF,,,,,,
Future Care Plan,"FUTURE CARE PLAN, INC",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrcQAF,,,,,,
Futures Through Choices,"Futures Through Choices, Inc.","Futures Through Choices, Inc",Non Profits,Nonprofit Corporation,FALSE,FALSE,TRUE,1,0014100000rD1P3AAK,429,tifanij@f-t-c.org,Tifani,Jefferies,,801-897-8005
Futures Through Training,"Futures Through Training, Inc.",,Non Profits,,FALSE,TRUE,TRUE,1,0014100000rD1P4AAK,,,,,,
G Lynn Rasmussen MD,G LYNN RASMUSSEN MD,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrdQAF,,,,,,
Gamma West Cancer Services,GAMMA WEST CANCER SERVICES,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWreQAF,,,,,,
Garden City,Garden City,Garden City,Town,Municipality,FALSE,FALSE,FALSE,1,0014100000rD1ppAAC,430,cathier@gardencityut.us,Cathie,Rasmussen,Town Clerk,4359462901
Garden City Cemetery Maintenance District,Garden City Cemetery Maintenance District,Garden City Cemetery District,Local and Special Service District,Local District,FALSE,FALSE,FALSE,1,0014100000rD1CeAAK,431,twcpa1@gmail.com,Tiffany,Wahlberg,,435-881-6668
Garden City Fire Protection District,Garden City Fire Protection District,Garden City Fire District,Local and Special Service District,Local District,FALSE,FALSE,FALSE,1,0014100000rD1CfAAK,432,dgpincock@gmail.com,Douglas,Pincock,Clerk,8019714078
Garden City Redevelopment Agency,Garden City Redevelopment Agency,,Redevelopment Agency/Project Area,,FALSE,TRUE,FALSE,1,0014100000rD1ZtAAK,,,,,,
Garfield County,Garfield County,Garfield County,County,County,FALSE,FALSE,FALSE,1,0014100000rD12ZAAS,433,camille.moore@garfield.utah.gov,Camille,A. Moore,,4356761120
Garfield County Municipal Building Authority,,Garfield County Municipal Building Authority,,Local Building Authority,TRUE,FALSE,,1,,434,camille.moore@garfield.utah.gov,Camille,A. Moore,,4346761120
Garfield County School District,Garfield County School District,Garfield County School District,School District or Charter School,School District,FALSE,FALSE,FALSE,1,0014100000rD1iHAAS,435,lane.mecham@garfk12.org,Lane,Mecham,,4356761302
Garfield County Special Service District 1,Garfield County Special Service District 1,,Local and Special Service District,,FALSE,TRUE,FALSE,1,0014100000rD1CgAAK,,,,,,
Garfield Hospital Physicians Group,GARFIELD HOSPITAL PHYSICIANS GROUP,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrfQAF,,,,,,
Garfield Memorial Clinic,GARFIELD MEMORIAL CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrgQAF,,,,,,
Garfield Memorial Hospital,GARFIELD MEMORIAL HOSPITAL,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrhQAF,,,,,,
Garfield Mobile Clinic,GARFIELD MOBILE CLINIC,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWriQAF,,,,,,
Garland Cemetery Maintenance District,Garland Cemetery Maintenance District,Garland Cemetery District,Local and Special Service District,Local District,FALSE,FALSE,FALSE,1,0014100000rD1v3AAC,436,garlandcemetery@gmail.com,Lisa,Carter,,435-452-1886
Garland City,Garland City,Garland City,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD0zuAAC,437,sharlet@garlandutah.org,Sharlet,Anderson,,435-257-3118 ext 1001
Garland City Redevelopment Agency 1,Garland City Redevelopment Agency I,,Redevelopment Agency/Project Area,,FALSE,TRUE,TRUE,1,0014100000rD1ZuAAK,,,,,,
Garland City Redevelopment Agency 2,Garland City Redevelopment Agency II,,Redevelopment Agency/Project Area,,FALSE,TRUE,TRUE,1,0014100000rD1ZvAAK,,,,,,
Garr Foot and Ankle,GARR FOOT & ANKLE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrjQAF,,,,,,
Gary H Teuscher CPA,"Gary H. Teuscher, CPA",,CPA Firm,,FALSE,FALSE,TRUE,1,0014100000rD0xtAAC,,,,,,
Gary Tremayne OD and Associates,"GARY TREMAYNE, O.D. AND ASSOCIATES",,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrkQAF,,,,,,
Gary W Clark DPM,GARY W CLARK DPM,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrlQAF,,,,,,
Gas Departments of Hildale Colorado City,Gas Departments of Hildale Colorado City,,Interlocal,,FALSE,TRUE,FALSE,1,0014100000rD13UAAS,,,,,,
Gateway Oral Health Center,GATEWAY ORAL HEALTH CENTER,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrmQAF,,,,,,
Gateway Preparatory Academy,Gateway Preparatory Academy,Gateway Preparatory Academy,School District or Charter School,Charter School,FALSE,FALSE,FALSE,1,0014100000rD1iIAAS,441,jonadamunk@gpacharter.org,Jonada,Munk,,4358675558
Gateway Recreation and Wellness District,Gateway Recreation and Wellness District,Gateway Recreation & Wellness District,Local and Special Service District,Special Service District,FALSE,FALSE,FALSE,1,0011K0000275yCXQAY,442,bobbijo97@hotmail.com,BobbiJo,Casper,Clerk,4356502783
Gateway at Sand Hollow Public Infrastructure District 1,Gateway at Sand Hollow PID 1,Gateway at Sand Hollow Public Infrastructure District No.1,Local and Special Service District,Local District,FALSE,FALSE,TRUE,1,0011K00002ThGnlQAF,438,gatewaypid1@gmail.com,Natasha,Asmus,Legal Assistant,4356283688
Gateway at Sand Hollow Public Infrastructure District 2,Gateway at Sand Hollow PID 2,Gateway at Sand Hollow Public Infrastructure District No. 2,Local and Special Service District,Local District,FALSE,FALSE,TRUE,1,0011K00002ZH94DQAT,439,publicdistricts@snowjensen.com,Natasha,Asmus,Paralegal,4356283688
Gateway at Sand Hollow Public Infrastructure District 3,Gateway at Sand Hollow PID 3,Gateway at Sand Hollow Public Infrastructure District No.3,Local and Special Service District,Local District,FALSE,FALSE,TRUE,1,0011K00002ZH93AQAT,440,publicdistricts@snowjensen.com,Natasha,Asmus,Paralegal,4356283688
Gavin Van Staden MD,GAVIN VAN STADEN MD,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrnQAF,,,,,,
General Pediatrics,GENERAL PEDIATRICS,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWroQAF,,,,,,
General Surgery at Northpointe,GENERAL SURGERY AT NORTHPOINTE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrpQAF,,,,,,
Generational Healthcare,GENERATIONAL HEALTHCARE,,Health Provider,,FALSE,FALSE,TRUE,1,0011K00002EhWrqQAF,,,,,,
Genola Town,Genola Town,Town of Genola,City,Municipality,FALSE,FALSE,FALSE,1,0014100000rD0zvAAC,1421,cityclerk@townofgenola.org,Lucinda,Thomas,city clerk,8017545300
Gentle Ironhawk Shelter,Gentle Ironhawk Shelter,,Non Profits,,FALSE,TRUE,FALSE,1,001Do00000NWGh1IAH,,,,,,
George S and Dolores Dore Eccles Endowment for Medical School Excellence,George S. and Dolores Dore Eccles Endowment for Medical School Excellence,,Educational Foundation or Component Unit,,FALSE,TRUE,TRUE,1,0011K00002agGqjQAE,,,,,,
George Washington Academy,George Washington Academy,George Washington Academy,School District or Charter School,Charter School,FALSE,FALSE,FALSE,1,0014100000rD1iJAAS,444,spencer@redapplefinance.com,Spencer,Adams,Business Manager,8013944140
Get Healthy Utah,Get Healthy Utah,Get Healthy Utah,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0011K000022BYukQAG,445,sarah@gethealthyutah.org,Sarah,Hodson,Executive Director,8014869915
Gifted Music School,Gifted Music School,,Non Profits,,FALSE,TRUE,FALSE,1,0011K00002YhuuXQAR,,,,,,
Gilbert and Stewart CPAs,"Gilbert & Stewart, CPAs",,CPA Firm,,FALSE,FALSE,TRUE,1,0014100000rD0xuAAC,,,,,,
Gina Bachauer International Piano Foundation,Gina Bachauer International Piano Foundation,Gina Bachauer International Piano Foundation,Non Profits,Nonprofit Corporation,FALSE,FALSE,FALSE,1,0014100001t4WszAAE,446,tonya@bachauer.com,Tonya,Roy,,801-297-4250
Girl Scouts of Utah,,Girl Scouts of Utah,,Nonprofit Corporation,TRUE,FALSE,,1,,447,sblack@gsutah.org,Sherry,Black,Executive Assistant,8017165087
Girls on the Run Utah,,Girls on the Run Utah,,Nonprofit Corporation,TRUE,FALSE,,1,,448,heidi@girlsontherunuitah.org,Heidi,Moreton,,8019135584
Gk Folks Foundation,GK Folks Foundation,,Non Profits,,FALSE,TRUE,TRUE,1,0011K00002Yhv0QQAR,,,,,,
